trade_date,code,u2_prob,rank,label_u2,close,amount,open,high,low,volume,ret_1,ret_5,ret_20,vol_20,amt_mean_20,year
2020-08-04,2230,0.8577622165431312,1,1,36.87,1086106016.0,37.16,37.28,36.54,289760.0,-0.0075370121130552414,0.041525423728813626,-0.07361809045226131,0.024861648069596527,1981216396.0,2020
2020-08-05,1,0.9652537431486797,1,1,11.5,1980352976.0,11.56,11.59,11.36,1440203.0,-0.02376910016977929,0.019503546099290947,-0.14814814814814814,0.025969705750476246,2414506088.8,2020
2020-08-05,600000,0.9100144592927684,2,1,8.57,483338976.0,8.7,8.7,8.51,460113.0,-0.017201834862385357,0.0,-0.10729166666666656,0.020617830484392547,788026484.0,2020
2020-08-05,2230,0.9053132766983514,3,1,36.82,999747712.0,37.33,37.39,36.56,267137.0,-0.0013561160835366959,0.007111597374179324,-0.08703198611455487,0.024553224692104723,1886865273.6,2020
2020-08-06,600000,0.7319441098498957,1,1,8.59,445698832.0,8.63,8.69,8.47,424842.0,0.002333722287047868,0.015366430260047137,-0.09100529100529098,0.020542518798192865,755225763.2,2020
2020-08-06,1,0.7260010430351003,2,1,11.64,1868047344.0,11.56,11.7,11.39,1352511.0,0.012173913043478368,0.04770477047704791,-0.12283345892991704,0.02623494196797199,2334432589.6,2020
2020-08-07,2230,0.9095031086728823,1,1,37.39,1755002784.0,37.74,38.03,36.53,462381.0,-0.01863517060367459,0.03803442531926704,-0.07747347643720703,0.023884623898137797,1779297004.8,2020
2020-08-07,1,0.8735659040938851,2,1,11.44,1356305776.0,11.54,11.64,11.36,988678.0,-0.01718213058419249,0.032490974729241895,-0.09206349206349207,0.024258495865456434,2239534259.2,2020
2020-08-07,600000,0.8231102717109323,3,1,8.49,461730416.0,8.57,8.59,8.42,442720.0,-0.011641443538998764,0.008313539192399189,-0.0629139072847682,0.01874533437211405,732020312.8,2020
2020-08-10,2230,0.888091736854949,1,1,37.46,1080680944.0,37.2,37.89,36.91,283688.0,0.0018721583311045453,0.008344549125168355,-0.0858955588091751,0.023670709282146644,1698191452.0,2020
2020-08-10,1,0.6818046808288103,2,1,11.69,2208568320.0,11.41,11.76,11.36,1587710.0,0.021853146853146876,0.031774051191526764,-0.07442596991290584,0.024932247839701594,2206391932.8,2020
2020-08-10,600000,0.626368714839453,3,1,8.58,514604352.0,8.48,8.63,8.45,489740.0,0.010600706713780994,0.01298701298701288,-0.05921052631578938,0.01887431993474332,701335651.2,2020
