trade_date,engine,code,u2_prob,rank,label_u2,close,amount,open,high,low,volume,ret_1,ret_5,ret_20,vol_20,amt_mean_20,year
2020-05-29,u2,600000,0.38167641422305915,4,1,8.03,322828560.0,7.91,8.03,7.91,306592.0,0.005006257822277815,0.05657894736842106,0.03080872913992283,0.014197473620939484,232340799.4,2020
2020-06-01,u2,300750,0.7234388080850284,1,1,70.05,2284037536.0,68.12,71.21,67.5,151766.0,0.04489856801909298,0.05560578661844473,0.10733480872589318,0.036425397093915804,2576480625.6,2020
2020-06-01,u2,2230,0.36596597432860256,2,1,32.24,1005989776.0,31.5,32.36,31.43,307342.0,0.03168000000000015,0.04505672609400335,0.021222679759265173,0.020953999400576486,923946605.6,2020
2020-06-01,u2,600000,0.36320779048657886,3,0,8.11,304346416.0,8.09,8.18,8.03,286128.0,0.00996264009962644,0.04915912031047842,0.004956629491945419,0.011892526336400458,229171150.6,2020
2020-06-01,u2,1,0.08723587990244427,4,1,11.06,1173619008.0,10.84,11.13,10.82,882961.0,0.029795158286778367,0.0543374642516683,-0.042424242424242475,0.01835416971431876,932116104.0,2020
2020-06-02,u2,300750,0.9965939612994543,1,1,69.22,2055312032.0,71.75,72.24,67.85,137030.0,-0.01184867951463242,-0.004601668104688095,0.04246987951807224,0.03509514958722555,2508754328.8,2020
2020-06-02,u2,2230,0.653206550081526,2,1,32.58,1024432256.0,32.34,32.91,32.01,308805.0,0.010545905707195935,0.03428571428571425,0.0,0.019816289016077453,921132925.6,2020
2020-06-02,u2,600000,0.32936313204227285,3,1,8.14,276609952.0,8.04,8.2,8.04,259225.0,0.0036991368680643344,0.053040103492884905,0.006180469715698411,0.01190734052410361,226493773.8,2020
2020-06-02,u2,1,0.08537539521622274,4,1,11.29,1194375824.0,11.03,11.37,11.02,883459.0,0.020795660036166286,0.06811731315042557,-0.014834205933682565,0.01898214766059576,934036483.2,2020
2020-06-03,u2,300750,0.9980429969408953,1,1,68.69,1693882304.0,69.52,70.15,68.31,113635.0,-0.007656746605027465,-0.02373507674815234,0.02247692765704068,0.03509883165786894,2454968051.2,2020
2020-06-03,u2,2230,0.44128395852482905,2,1,32.76,1529858752.0,33.55,33.85,32.67,450619.0,0.005524861878453136,0.056774193548386975,-0.012062726176115812,0.0194282195341017,937097480.8,2020
2020-06-03,u2,600000,0.34198688721517584,3,1,8.16,294473008.0,8.21,8.33,8.16,273522.0,0.002457002457002311,0.04481434058898848,0.030303030303030276,0.010792785345547954,219650587.4,2020
2020-06-03,u2,1,0.16679218930044543,4,1,11.28,1308782288.0,11.38,11.62,11.24,956803.0,-0.0008857395925597755,0.07122507122507127,-0.0017699115044248481,0.018720188290762923,930339223.2,2020
2020-06-04,u2,300750,0.9779953713037188,1,1,69.65,2082248432.0,69.53,71.94,68.87,137574.0,0.013975833454651365,0.01946721311475419,0.059315589353612364,0.03476821310543461,2443977496.0,2020
2020-06-04,u2,2230,0.8450237148233407,2,1,32.6,728413760.0,32.83,33.16,32.5,217741.0,-0.004884004884004756,0.04958145524790747,-0.01807228915662651,0.019448980159686987,925400904.8,2020
2020-06-04,u2,600000,0.6817650423082666,3,1,8.1,187688384.0,8.26,8.26,8.1,175590.0,-0.007352941176470673,0.013767209011263937,0.031847133757961776,0.010722421441991564,215409187.4,2020
2020-06-04,u2,1,0.47027602647530853,4,1,11.31,788707632.0,11.27,11.38,11.15,583066.0,0.0026595744680852906,0.046253469010175685,0.008021390374331583,0.01865072092355022,924557128.0,2020
2020-06-05,u2,300750,0.9831943067338554,1,1,70.31,1475831344.0,69.4,70.4,68.12,98627.0,0.009475951184493958,0.04877684964200468,0.06160350294428496,0.03478429445377153,2416519156.8,2020
2020-06-05,u2,2230,0.8333174290746322,2,1,32.68,602873536.0,32.58,32.95,32.28,181144.0,0.0024539877300613355,0.04576000000000002,-0.026511766458147124,0.019265885465472726,897614065.6,2020
2020-06-05,u2,1,0.5835875475736493,3,1,11.33,517232128.0,11.34,11.36,11.17,383027.0,0.0017683465959328348,0.05493482309124764,-0.013066202090592394,0.017883530931624987,885522504.8,2020
2020-06-05,u2,600000,0.543616441115455,4,1,8.13,222668156.0,8.14,8.15,8.02,209583.0,0.0037037037037037646,0.012453300124533273,0.029113924050633067,0.010676792007866759,215607669.5,2020
2020-06-08,u2,300750,0.9914005130347381,1,1,70.42,1605995424.0,71.72,72.17,69.9,105604.0,0.0015645000711135282,0.005281941470378415,0.12402234636871512,0.0320518498318755,2298857213.6,2020
2020-06-08,u2,600000,0.7749901428019631,2,1,8.07,194265349.0,8.1,8.18,8.06,182512.0,-0.0073800738007380184,-0.004932182490752002,0.02281368821292773,0.010846052107308006,214079941.15,2020
2020-06-08,u2,2230,0.7733337560511058,3,1,33.1,790580240.0,32.88,33.35,32.86,234238.0,0.012851897184822603,0.026674937965260437,-0.021867612293144267,0.019416298439106895,887037150.4,2020
2020-06-08,u2,1,0.5694606156376374,4,1,11.36,802115792.0,11.42,11.59,11.32,585972.0,0.0026478375992937675,0.027124773960216952,-0.014744145706851675,0.017863172545783658,882670464.8,2020
2020-06-09,u2,2230,0.9457438718793988,1,1,32.93,531923344.0,33.25,33.25,32.8,158107.0,-0.005135951661631499,0.010742786985880937,-0.015545590433482914,0.019284860098696816,873896919.2,2020
2020-06-09,u2,300750,0.9155274980645095,2,1,71.85,2325730464.0,72.15,72.96,71.37,150699.0,0.020306731042317505,0.03799479919098525,0.13310203437943535,0.03218147862090328,2304712515.2,2020
2020-06-09,u2,1,0.67922245022699,3,0,11.41,646895840.0,11.38,11.47,11.27,474300.0,0.004401408450704247,0.010628875110717528,0.007950530035335746,0.017398608350233883,876409781.6,2020
2020-06-09,u2,600000,0.5631760182388605,4,1,8.14,184089097.0,8.08,8.18,8.04,172632.0,0.00867410161090465,0.0,0.04358974358974366,0.010544374335923007,213210666.6,2020
2020-06-10,u2,1,0.7627834490556442,1,1,11.23,781995744.0,11.45,11.45,11.14,580476.0,-0.015775635407537236,-0.004432624113475114,0.006272401433691677,0.01747517581185313,871956466.4,2020
2020-06-10,u2,300750,0.7495708021106012,2,1,73.36,3097487312.0,75.15,75.15,71.59,198210.0,0.021016005567153773,0.0679866064929393,0.1644444444444444,0.032174280444274506,2375674086.4,2020
2020-06-10,u2,600000,0.7479524946144473,3,1,8.04,177440922.0,8.17,8.17,8.04,166935.0,-0.012285012285012442,-0.014705882352941346,0.025510204081632626,0.010998018339001504,214043530.3,2020
2020-06-10,u2,2230,0.018296870034794355,4,1,34.75,2900210048.0,33.08,34.97,32.82,831201.0,0.05526875189796532,0.06074481074481075,0.04197901049475261,0.022956372476894374,989687942.4,2020
2020-06-11,u2,1,0.7404886989263352,1,1,10.82,1774199984.0,11.12,11.13,10.74,1349040.0,-0.03650934995547639,-0.043324491600353676,-0.0009233610341643494,0.018158320670926726,897694423.2,2020
2020-06-11,u2,600000,0.73536492288585,2,1,7.94,264822302.0,8.04,8.07,7.91,251715.0,-0.01243781094527352,-0.01975308641975304,0.023195876288659933,0.011131712456229969,219106735.8,2020
2020-06-11,u2,2230,0.6194412043276679,3,1,34.16,2458150096.0,34.9,35.75,33.93,692362.0,-0.016978417266187096,0.047852760736196265,0.029225670382645452,0.023313558527762884,1087593137.6,2020
2020-06-11,u2,300750,0.020879525841778303,4,1,77.41,6056179456.0,75.2,80.8,74.16,368177.0,0.05520719738276991,0.11141421392677664,0.2582899869960986,0.03290844549621355,2600448146.4,2020
2020-06-12,u2,300750,0.9708605645959387,1,1,74.81,4038133984.0,75.3,76.59,74.58,252446.0,-0.0335873918098436,0.0640022756364671,0.11640053723324861,0.028972211489046152,2572061623.2,2020
