date,ret,n_trades,cash_weight,n_signals,equity
2022-01-28,-0.019586067919835186,3,0.10000000000000009,3,0.26271347681893803
2022-02-07,0.01772980972515855,2,0.4,2,0.26737133677517266
2022-02-08,0.01422546047148024,2,0.4,2,0.2711748171576747
2022-02-09,0.00842688108182187,2,0.4,2,0.2734599750942472
2022-02-10,0.006053762243198009,2,0.4,2,0.2751154367664986
2022-02-14,-0.01476923076923076,2,0.4,2,0.27105219339271647
2022-02-15,-0.00830773688785857,2,0.4,2,0.26880036308713284
2022-02-16,0.00443900355589104,2,0.4,2,0.26999356885470144
2022-02-17,-0.00105292107789837,2,0.4,2,0.26970928693515733
2022-02-18,0.007322175732217559,1,0.7,1,0.27168414573070765
2022-02-21,-0.00822235587249762,2,0.4,2,0.26945026199959426
2022-02-22,-0.0058212058212057894,1,0.7,1,0.2678817365659168
2022-02-23,-0.0025334497955294397,2,0.4,2,0.2672030716351878
2022-02-24,-0.01649681910525882,3,0.10000000000000009,3,0.2627950708980526
2022-02-25,-0.00070806885988191,3,0.10000000000000009,3,0.26260899389181924
2022-02-28,-0.00681868203499551,3,0.10000000000000009,3,0.26081834666294085
2022-03-01,0.005895299530998091,2,0.4,2,0.26235594893969855
2022-03-02,-0.0060619109925965095,2,0.4,2,0.2607655705288479
2022-03-03,0.00066176470588233,1,0.7,1,0.2609381359799332
2022-03-04,-0.010935331726234138,2,0.4,2,0.25808469090296743
2022-03-07,-0.022755043227665698,3,0.10000000000000009,3,0.25221196260507167
2022-03-08,-0.01747848761408085,3,0.10000000000000009,3,0.24780367894055588
2022-03-09,-0.01618096086925179,3,0.10000000000000009,3,0.2437939773083621
2022-03-10,0.02120194728890373,3,0.10000000000000009,3,0.2489628843646062
2022-03-11,0.00914453424576777,3,0.10000000000000009,3,0.2512395339866034
2022-03-14,-0.01923684968085837,3,0.10000000000000009,3,0.24640647683741423
2022-03-15,-0.01978926441351888,3,0.10000000000000009,3,0.24153027391407503
2022-03-16,0.03103356806199819,3,0.10000000000000009,3,0.24902582010862054
2022-03-17,0.0020078708017099503,2,0.4,2,0.24952583178168852
2022-03-18,0.011992082167738229,3,0.10000000000000009,3,0.25251816605938776
2022-03-21,-0.00913663611934128,2,0.4,2,0.25021099946257974
2022-03-22,0.0033333333333333,1,0.7,1,0.25104503612745505
2022-03-23,-0.00754295837403105,3,0.10000000000000009,3,0.24915141386993853
2022-03-24,0.0021171150908745897,3,0.10000000000000009,3,0.2496788960881553
2022-03-25,-0.011464974957139648,3,0.10000000000000009,3,0.24681633379717835
2022-03-28,-0.00435080576137722,3,0.10000000000000009,3,0.24574248387009157
2022-03-29,-0.00507648179602272,3,0.10000000000000009,3,0.24449497662421565
2022-03-30,0.025896169225223097,3,0.10000000000000009,3,0.2508264599135933
2022-03-31,-0.0005331789950392199,2,0.4,2,0.25069272451376734
2022-04-01,-0.00123456790123458,1,0.7,1,0.2503832273230096
2022-04-06,-0.00508916920400169,1,0.7,1,0.2491089847133188
2022-04-07,-0.00365044247787612,1,0.7,1,0.2481996266939007
2022-04-08,-0.0012094064949608099,1,0.7,1,0.24789945245333023
2022-04-11,-0.013511278195488748,2,0.4,2,0.24455001398672396
2022-04-12,-0.0042134974403511905,2,0.4,2,0.24351960312875306
2022-04-13,-0.00798085531748442,3,0.10000000000000009,3,0.24157610840921126
2022-04-14,-0.00029048656499634,1,0.7,1,0.24150593379529428
2022-04-15,-0.00065422825296828,1,0.7,1,0.24134793379014594
2022-04-18,-0.018,2,0.4,2,0.2370036709819233
2022-04-19,0.00015051811292627996,2,0.4,2,0.23703934432723608
2022-04-20,0.00057549108064914,2,0.4,2,0.23717575835565935
2022-04-21,-0.00804277443602487,2,0.4,2,0.23526820722951164
2022-04-22,-0.00249669277762092,2,0.4,2,0.2346808147957179
2022-04-25,-0.026999999999999996,3,0.10000000000000009,3,0.2283444327962335
2022-04-26,-0.00946061671665609,3,0.10000000000000009,3,0.2261841536381661
2022-04-27,0.01612792511700471,2,0.4,2,0.22983203473069555
2022-04-28,-0.005465414175918,2,0.4,2,0.22857590746999834
2022-04-29,0.010704495210022138,2,0.4,2,0.2310226971766374
2022-05-05,0.00049180327868844,2,0.4,2,0.23113631489656034
2022-05-06,-0.01884427183303878,3,0.10000000000000009,3,0.22678071934816268
2022-05-09,-0.016053165701458292,3,0.10000000000000009,3,0.2231401708825707
2022-05-10,0.00525388442398065,3,0.10000000000000009,3,0.22431252355073503
2022-05-11,0.00335609048365998,3,0.10000000000000009,3,0.22506533667638942
2022-05-12,-0.008338319805706412,3,0.10000000000000009,3,0.2231886699220027
2022-05-13,0.0030880413315200407,2,0.4,2,0.2238778857594488
2022-05-16,-0.0124993352506023,3,0.10000000000000009,3,0.22107956101014542
2022-05-17,0.01133822739181254,2,0.4,2,0.22358621134456055
2022-05-18,-0.0004704337038221396,3,0.10000000000000009,3,0.22348102885503418
2022-05-19,-0.00888892281027444,3,0.10000000000000009,3,0.22149452323998106
2022-05-20,0.01452381990387024,2,0.4,2,0.22471146980521214
2022-05-23,-0.00371837340283215,3,0.10000000000000009,3,0.22387590865257714
2022-05-24,-0.02123574730354392,3,0.10000000000000009,3,0.21912173642907973
2022-05-25,0.00054297763116579,3,0.10000000000000009,3,0.21924071463046294
2022-05-26,-0.0028694376486570593,2,0.4,2,0.2186116170697838
2022-05-27,-0.00102694992868398,2,0.4,2,0.2183871138852245
2022-05-30,-0.00798392599893849,2,0.4,2,0.21664352732884312
2022-05-31,0.0019999999999999497,1,0.7,1,0.21707681438350082
2022-06-01,-0.0033756438557763,2,0.4,2,0.21634404036879568
2022-06-02,-0.00418023255813951,2,0.4,2,0.2154396719674866
2022-06-06,0.00416054693078598,2,0.4,2,0.21633601883346046
2022-06-07,-0.00024813895781637,1,0.7,1,0.21628233743920897
2022-06-08,-0.0009345794392522799,2,0.4,2,0.21608020441356487
2022-06-09,-0.009,1,0.7,1,0.2141354825738428
2022-06-10,-0.0016579955621022898,2,0.4,2,0.2137804468940467
2022-06-13,-0.01641885625965996,2,0.4,2,0.21027041646536748
2022-06-16,-0.01213183578956481,2,0.4,2,0.20771945030140623
2022-06-17,0.00024271844660192997,1,0.7,1,0.20776986764371239
2022-06-20,-0.00266774454324975,1,0.7,1,0.20721559071305415
2022-06-21,0.00073409461663944,1,0.7,1,0.20736770656268036
2022-06-22,-0.00938307342149958,2,0.4,2,0.20542196014675476
2022-06-23,0.003,1,0.7,1,0.20603822602719501
2022-06-24,0.0007425742574257199,1,0.7,1,0.20619122470988846
2022-06-29,-0.009,1,0.7,1,0.20433550368749948
2022-06-30,-0.00276029055690069,1,0.7,1,0.20377147832623133
2022-07-01,-0.00043988269794723,1,0.7,1,0.20368184277858048
2022-07-06,-0.01256640638075061,2,0.4,2,0.20112229396984468
2022-07-07,-0.00404811793758885,2,0.4,2,0.20030812720397634
2022-07-08,0.0029173419773095796,1,0.7,1,0.20089249451186478
2022-07-11,-0.010926163723916488,2,0.4,2,0.19869751022592214
2022-07-12,-0.0058103811258003,2,0.4,2,0.19754300196276192
2022-07-13,-0.0111942762032457,3,0.10000000000000009,3,0.19533165103677247
2022-07-14,-0.012784163313212549,3,0.10000000000000009,3,0.19283449930967894
2022-07-15,-0.01518786837164856,3,0.10000000000000009,3,0.1899057543166508
2022-07-18,0.00403225806451611,1,0.7,1,0.19067150332599211
2022-07-19,0.00343569730280679,2,0.4,2,0.19132659289569132
2022-07-20,-0.00079365079365075,1,0.7,1,0.19117474639339316
2022-07-21,-0.015016867292929378,3,0.10000000000000009,3,0.18830390059704413
2022-07-22,-0.0029410569895473,2,0.4,2,0.18775008809403418
2022-07-25,0.00071360532568437,2,0.4,2,0.1878840675567958
2022-07-26,0.0024612579762989697,1,0.7,1,0.18834649871668946
2022-07-27,-0.00515070747238245,2,0.4,2,0.18737638099835233
2022-07-28,0.00246800731261422,1,0.7,1,0.18783882727686746
2022-07-29,-0.01635021661005108,3,0.10000000000000009,3,0.1847676217631127
2022-08-01,-0.00865149142880082,2,0.4,2,0.18316910626710922
2022-08-02,-0.0179100862488633,3,0.10000000000000009,3,0.1798885317757381
2022-08-03,-0.00888397135314603,3,0.10000000000000009,3,0.17829040721268294
2022-08-04,0.00735184668939681,3,0.10000000000000009,3,0.1796011709527007
2022-08-05,0.004364694471387,1,0.7,1,0.18038507519061261
2022-08-08,-0.00649186073208033,3,0.10000000000000009,3,0.1792140404043293
2022-08-09,-0.0023188405797101097,1,0.7,1,0.17879847161498594
2022-08-10,-0.00871592721848574,2,0.4,2,0.17724007714961323
2022-08-11,0.008521057786483769,1,0.7,1,0.17875035008908594
2022-08-12,0.00063730895386974,2,0.4,2,0.17886426928770507
2022-08-15,-0.01348551228776106,2,0.4,2,0.17645219298638432
2022-08-16,-0.00375219371126385,2,0.4,2,0.17579011017752208
2022-08-17,0.0031866464339908797,1,0.7,1,0.17635029110525016
2022-08-18,-0.010421558999758048,2,0.4,2,0.17451244614187228
2022-08-19,0.005398372705475428,2,0.4,2,0.1754545293678903
2022-08-22,-0.0007167191990359201,2,0.4,2,0.17532877773813452
2022-08-23,-0.00463615845810522,3,0.10000000000000009,3,0.17451592574227462
2022-08-24,-0.008264472233125889,3,0.10000000000000009,3,0.17307364371973932
2022-08-25,-0.0021657754010694598,1,0.7,1,0.17269880507959764
2022-08-26,-0.00205608991070301,2,0.4,2,0.17234372080888302
2022-08-29,-0.01113932699681493,3,0.10000000000000009,3,0.1704239277469451
