top_k,min_prob,min_price,max_price,min_amount,position_weight,stop_loss,take_profit,n_years,n_days,total_return,ann_return_overall,ann_return_mean,ann_vol_mean,sharpe_mean,max_drawdown_min,win_ratio_mean
3,0.65,3.0,80.0,20000000.0,0.3,0.05,0.08,6,1202,-0.9808018302105884,-0.5633993044675558,-0.5613617530654794,0.1440281566228179,-3.892548336242499,-0.6097532227453845,0.35055993353167697
4,0.65,3.0,80.0,20000000.0,0.3,0.05,0.08,6,1202,-0.9808018302105884,-0.5633993044675558,-0.5613617530654794,0.1440281566228179,-3.892548336242499,-0.6097532227453845,0.35055993353167697
4,0.6,3.0,80.0,20000000.0,0.3,0.05,0.06,6,1216,-0.981852792335477,-0.564326400985961,-0.5618545831110526,0.14406076229676593,-3.881583177212766,-0.6182702931674962,0.35367932008556435
4,0.55,3.0,80.0,20000000.0,0.3,0.05,0.06,6,1216,-0.981852792335477,-0.564326400985961,-0.5618545831110526,0.14406076229676593,-3.881583177212766,-0.6182702931674962,0.35367932008556435
3,0.6,3.0,80.0,20000000.0,0.3,0.05,0.06,6,1216,-0.981852792335477,-0.564326400985961,-0.5618545831110526,0.14406076229676593,-3.881583177212766,-0.6182702931674962,0.35367932008556435
3,0.55,3.0,80.0,20000000.0,0.3,0.05,0.06,6,1216,-0.981852792335477,-0.564326400985961,-0.5618545831110526,0.14406076229676593,-3.881583177212766,-0.6182702931674962,0.35367932008556435
4,0.55,3.0,80.0,20000000.0,0.35,0.05,0.08,6,1216,-0.9823420651959911,-0.5667871175883847,-0.5654935495817911,0.15070332830792202,-3.787793527134076,-0.629271342462921,0.34947707902676545
2,0.55,3.0,80.0,20000000.0,0.35,0.05,0.08,6,1216,-0.9823420651959911,-0.5667871175883847,-0.5654935495817911,0.15070332830792202,-3.787793527134076,-0.629271342462921,0.34947707902676545
3,0.55,3.0,80.0,20000000.0,0.35,0.05,0.08,6,1216,-0.9823420651959911,-0.5667871175883847,-0.5654935495817911,0.15070332830792202,-3.787793527134076,-0.629271342462921,0.34947707902676545
3,0.6,3.0,80.0,20000000.0,0.35,0.05,0.08,6,1216,-0.9823420651959911,-0.5667871175883847,-0.5654935495817911,0.15070332830792202,-3.787793527134076,-0.629271342462921,0.34947707902676545
4,0.6,3.0,80.0,20000000.0,0.35,0.05,0.08,6,1216,-0.9823420651959911,-0.5667871175883847,-0.5654935495817911,0.15070332830792202,-3.787793527134076,-0.629271342462921,0.34947707902676545
2,0.6,3.0,80.0,20000000.0,0.35,0.05,0.08,6,1216,-0.9823420651959911,-0.5667871175883847,-0.5654935495817911,0.15070332830792202,-3.787793527134076,-0.629271342462921,0.34947707902676545
3,0.65,3.0,80.0,20000000.0,0.3,0.05,0.06,6,1202,-0.9820332028981491,-0.5694250517687658,-0.5675505653025399,0.14204787815097772,-3.983534113951944,-0.6102801173300633,0.35055993353167697
4,0.65,3.0,80.0,20000000.0,0.3,0.05,0.06,6,1202,-0.9820332028981491,-0.5694250517687658,-0.5675505653025399,0.14204787815097772,-3.983534113951944,-0.6102801173300633,0.35055993353167697
2,0.55,3.0,80.0,20000000.0,0.35,0.05,0.06,6,1216,-0.9835397281854434,-0.5730470322114034,-0.5718950669697948,0.1484500081611416,-3.87758480784275,-0.6298542787142829,0.34947707902676545
2,0.6,3.0,80.0,20000000.0,0.35,0.05,0.06,6,1216,-0.9835397281854434,-0.5730470322114034,-0.5718950669697948,0.1484500081611416,-3.87758480784275,-0.6298542787142829,0.34947707902676545
3,0.6,3.0,80.0,20000000.0,0.35,0.05,0.06,6,1216,-0.9835397281854434,-0.5730470322114034,-0.5718950669697948,0.1484500081611416,-3.87758480784275,-0.6298542787142829,0.34947707902676545
3,0.55,3.0,80.0,20000000.0,0.35,0.05,0.06,6,1216,-0.9835397281854434,-0.5730470322114034,-0.5718950669697948,0.1484500081611416,-3.87758480784275,-0.6298542787142829,0.34947707902676545
