trade_date,code,rank,u1_score,ret_1
2022-07-07,0,1,-0.0046517602418479,
2022-07-07,1,2,-0.008780143788263,-0.008835341365461824
2022-07-07,2,3,-0.0154872295627877,
2022-07-08,0,1,0.0121036964862075,
2022-07-08,1,2,0.0018820116068551,0.009724473257698651
2022-07-08,2,3,-0.0114085189873631,
2022-07-11,0,1,-0.0015788193735408,
2022-07-11,1,2,-0.006695562260654,-0.006420545746388395
2022-07-11,2,3,-0.0355471632861843,
2022-07-12,0,1,0.006134991707116,
2022-07-12,1,2,-0.0031296700908573,-0.003231017770597866
2022-07-12,2,3,-0.015723368312965,
2022-07-13,0,1,0.0021480791388675,
2022-07-13,1,2,-0.0094185206490682,-0.0364667747163695
2022-07-13,2,3,-0.0356768248055866,
2022-07-14,0,1,-0.0031599717615146,
2022-07-14,1,2,-0.009323216596664,-0.05046257359125328
2022-07-14,2,3,-0.0359364309623327,
2022-07-15,0,1,-0.0133971093819907,
2022-07-15,1,2,-0.0167694622704801,-0.011514614703277193
2022-07-15,2,3,-0.0189851279716095,
2022-07-18,0,1,0.0361027885115236,
2022-07-18,1,2,0.0265268156207114,0.013440860215053752
2022-07-18,2,3,0.0128780468928303,
2022-07-19,0,1,0.0104999356827502,
2022-07-19,1,2,0.0034464918233254,0.0026525198938991412
2022-07-19,2,3,0.0030861773636073,
2022-07-20,0,1,0.0136054759406537,
2022-07-20,1,2,-0.003102700439955,-0.002645502645502562
2022-07-20,2,3,-0.0032281080225656,
2022-07-21,0,1,-0.0077879490238415,
2022-07-21,1,2,-0.0136532633998942,-0.03359858532272331
2022-07-21,2,3,-0.0358388712334267,
2022-07-22,0,1,0.0035263141274667,
2022-07-22,1,2,0.0031527340935832,0.0027447392497714773
2022-07-22,2,3,-0.0139124743158712,
2022-07-25,0,1,0.0020417929264121,
2022-07-25,1,2,0.0017875755928236,0.0009124087591241281
2022-07-25,2,3,0.0001659551090082,
2022-07-26,0,1,0.0175827664828483,
2022-07-26,1,2,0.0098874546318555,0.008204193254329972
2022-07-26,2,3,0.0045714513102233,
2022-07-27,0,1,0.0318146238152593,
2022-07-27,1,2,-0.0067193173687104,-0.010849909584086936
2022-07-27,2,3,-0.012636339607134,
2022-07-28,0,1,0.0094138332709196,
2022-07-28,1,2,0.0057520891786312,0.00822669104204743
2022-07-28,2,3,-0.0015566386210135,
2022-07-29,0,1,-0.0128956038111415,
2022-07-29,1,2,-0.0189482524332824,-0.01813236627379866
2022-07-29,2,3,-0.0330072913998083,
2022-08-01,0,1,0.0125815668262606,
2022-08-01,1,2,-0.0045535969010259,-0.024007386888273308
2022-08-01,2,3,-0.0334527937670756,
2022-08-02,0,1,-0.0146723547211379,
2022-08-02,1,2,-0.0147746354940853,-0.015137180700094621
2022-08-02,2,3,-0.0335602851675871,
2022-08-03,0,1,0.0040953508738183,
2022-08-03,1,2,-0.0133886686651415,-0.022094140249759864
2022-08-03,2,3,-0.0305267206708531,
2022-08-04,0,1,0.0130303531183181,
2022-08-04,1,2,0.0099206465097558,0.012770137524558134
2022-08-04,2,3,0.0035651896982393,
2022-08-05,0,1,0.0355265543678243,
2022-08-05,1,2,0.0128893219638477,0.014548981571290032
2022-08-05,2,3,0.0120828622288479,
2022-08-08,0,1,-0.0045471550982867,
2022-08-08,1,2,-0.0065276953762618,-0.01051625239005749
2022-08-08,2,3,-0.0121301383976646,
2022-08-09,0,1,0.0003043902737032,
2022-08-09,1,2,-0.0069755808865227,-0.007729468599033784
2022-08-09,2,3,-0.0074462916022652,
2022-08-10,0,1,-0.0045979011306686,
2022-08-10,1,2,-0.0060589495873132,-0.0058422590068158975
2022-08-10,2,3,-0.0329035113429749,
2022-08-11,0,1,0.0345973921347169,
2022-08-11,1,2,0.0126312846448041,0.028403525954945996
2022-08-11,2,3,0.0125741474747373,
2022-08-12,0,1,0.0121248501688304,
2022-08-12,1,2,0.0030201255358196,0.0028571428571428914
2022-08-12,2,3,-0.0010122126457372,
2022-08-15,0,1,-0.0046208916527985,
2022-08-15,1,2,-0.0191402272878632,-0.02564102564102555
2022-08-15,2,3,-0.0336083727087919,
2022-08-16,0,1,0.0021118012201603,
2022-08-16,1,2,-0.0031557488519885,0.0019493177387914784
2022-08-16,2,3,-0.0146234737315749,
2022-08-17,0,1,0.0342194102338493,
2022-08-17,1,2,0.0122563421341736,0.026264591439688845
2022-08-17,2,3,0.0120758414717537,
2022-08-18,0,1,-0.0128036014217711,
2022-08-18,1,2,-0.0143685191500815,-0.014218009478673022
2022-08-18,2,3,-0.0235517005706108,
2022-08-19,0,1,0.0344035235200541,
2022-08-19,1,2,-0.0017420303249522,0.030769230769230882
2022-08-19,2,3,-0.0138243296721636,
2022-08-22,0,1,0.0047161440463507,
2022-08-22,1,2,0.0039814964437081,-0.006529850746268662
2022-08-22,2,3,-0.0067469819548666,
2022-08-23,0,1,0.0115692704209264,
2022-08-23,1,2,-0.0102036011040023,-0.015023474178403773
2022-08-23,2,3,-0.0145590438877317,
2022-08-24,0,1,0.0054230780066279,
2022-08-24,1,2,-0.0031737820506985,0.0057197330791229906
2022-08-24,2,3,-0.0330120780154667,
2022-08-25,0,1,0.033245574932733,
2022-08-25,1,2,0.009199266264423,0.020853080568720372
2022-08-25,2,3,-0.0072162624086883,
2022-08-26,0,1,0.0035751521089739,
2022-08-26,1,2,-0.0010962302626872,-0.0009285051067781103
2022-08-26,2,3,-0.0061628351913996,
2022-08-29,0,1,-0.0085055202421763,
2022-08-29,1,2,-0.0131465035825081,-0.017657992565055736
2022-08-29,2,3,-0.017078314886453,
2022-08-30,0,1,0.0127128089523774,
2022-08-30,1,2,0.0067784210246128,0.0056764427625355385
2022-08-30,2,3,0.006033524825812,
2022-08-31,0,1,0.0342584191428545,
2022-08-31,1,2,0.0127041577126172,0.02539981185324547
2022-08-31,2,3,0.0021818780997038,
2022-09-01,0,1,-0.0066006697363513,
2022-09-01,1,2,-0.008393616895635,-0.012844036697247763
2022-09-01,2,3,-0.0138659141871737,
2022-09-02,0,1,0.006357600032004,
2022-09-02,1,2,-0.0031595255436382,-0.009293680297397744
2022-09-02,2,3,-0.0099487977503754,
2022-09-05,0,1,0.0092271413763606,
2022-09-05,1,2,0.0056399218610244,0.0056285178236397115
2022-09-05,2,3,-0.0329781753815447,
2022-09-06,0,1,0.0112451730054149,
2022-09-06,1,2,0.0001808172013515,-0.006529850746268662
2022-09-06,2,3,-0.0066205501359642,
2022-09-07,0,1,0.0033735278194958,
2022-09-07,1,2,-0.0066931862736145,-0.015962441314553932
2022-09-07,2,3,-0.0145887213516455,
2022-09-08,0,1,0.0034700380197337,
2022-09-08,1,2,0.0032026431283721,0.002862595419847347
2022-09-08,2,3,-0.0099485120073679,
2022-09-09,0,1,0.0325851405468334,
2022-09-09,1,2,0.0121106906330181,0.03425309229305418
2022-09-09,2,3,0.0119320431280202,
2022-09-13,0,1,0.0328737940772461,
2022-09-13,1,2,0.0058459091913531,0.021159153633854677
2022-09-13,2,3,-0.0025428356739214,
2022-09-14,0,1,-0.0132465021159923,
2022-09-14,1,2,-0.0141389389216035,-0.01981981981981973
2022-09-14,2,3,-0.022354347271148,
2022-09-15,0,1,0.0329641116788095,
2022-09-15,1,2,0.0060087406107875,0.02481617647058809
2022-09-15,2,3,-0.0223530202654203,
2022-09-16,0,1,-0.0136203176365592,
2022-09-16,1,2,-0.0328100520342581,-0.03946188340807166
2022-09-16,2,3,-0.0328100520342581,
2022-09-19,0,1,0.0036473502923439,
2022-09-19,1,2,0.0019236613674622,0.0009337068160597539
2022-09-19,2,3,-0.0173268085561306,
2022-09-20,0,1,0.0053194722142917,
2022-09-20,1,2,-0.0077821404979254,-0.021455223880597063
2022-09-20,2,3,-0.0318907835118765,
2022-09-21,0,1,0.0096113695728037,
2022-09-21,1,2,0.0036165847275876,0.008579599618684375
2022-09-21,2,3,0.0032943558777301,
2022-09-22,0,1,-0.0017765960126928,
2022-09-22,1,2,-0.014263589830013,-0.013232514177693777
2022-09-22,2,3,-0.0252378857826836,
2022-09-23,0,1,0.0059333071322203,
2022-09-23,1,2,0.0003125183379307,0.0
2022-09-23,2,3,-0.019410451558858,
2022-09-26,0,1,-0.0102105064974159,
2022-09-26,1,2,-0.015007317406481,-0.02777777777777768
2022-09-26,2,3,-0.0328810200924119,
2022-09-27,0,1,0.0327268180751203,
2022-09-27,1,2,0.0124359283056916,0.014778325123152802
2022-09-27,2,3,0.0021624498423777,
2022-09-28,0,1,0.0022058592852971,
2022-09-28,1,2,-0.0037436897716251,-0.003883495145631133
2022-09-28,2,3,-0.0141900302185808,
2022-09-29,0,1,-0.0145453041773834,
2022-09-29,1,2,-0.016733405525439,-0.024366471734892814
2022-09-29,2,3,-0.032940070375274,
2022-09-30,0,1,0.0103210443090931,
2022-09-30,1,2,-0.0020809194488368,-0.0019980019980019303
2022-09-30,2,3,-0.0087919889383117,
2022-10-10,0,1,-0.0017411982081264,
2022-10-10,1,2,-0.0333590242254235,-0.03703703703703709
2022-10-10,2,3,-0.0333590242254235,
2022-10-11,0,1,0.0017369304346078,
2022-10-11,1,2,-0.0033162127310082,0.0010395010395012338
2022-10-11,2,3,-0.0150814998655815,
2022-10-12,0,1,0.0116994671701238,
2022-10-12,1,2,0.0115036308235594,0.012461059190031154
2022-10-12,2,3,0.0069351879690138,
2022-10-13,0,1,0.0108847110550919,
2022-10-13,1,2,-0.0076591970288402,-0.026666666666666616
2022-10-13,2,3,-0.0339985184058522,
2022-10-14,0,1,0.0316986958510309,
2022-10-14,1,2,0.0308106141366806,0.02002107481559534
2022-10-14,2,3,0.0046227605623255,
2022-10-17,0,1,0.0319187498584647,
2022-10-17,1,2,-0.0016086314617578,-0.005165289256198191
2022-10-17,2,3,-0.0052244876899958,
2022-10-18,0,1,0.0005771172751944,
2022-10-18,1,2,0.0005771172751944,0.0
2022-10-18,2,3,-0.0327309226795363,
2022-10-19,0,1,-0.00781931705121,
2022-10-19,1,2,-0.0148685380581337,-0.019730010384216068
2022-10-19,2,3,-0.018305703437276,
2022-10-20,0,1,0.0087401837596462,
2022-10-20,1,2,0.0005002725236017,-0.009533898305084776
2022-10-20,2,3,-0.0088732347099485,
2022-10-21,0,1,0.0317081151326007,
2022-10-21,1,2,-0.0080374480861613,-0.0117647058823529
2022-10-21,2,3,-0.0136799780014288,
2022-10-24,0,1,0.0208706204640755,
2022-10-24,1,2,-0.0163801228749696,-0.05086580086580095
2022-10-24,2,3,-0.0338210580729741,
2022-10-25,0,1,0.0047880462422328,
2022-10-25,1,2,0.0035997930317237,0.003420752565564511
2022-10-25,2,3,-0.0151644627553335,
2022-10-26,0,1,0.0308504649109341,
2022-10-26,1,2,0.0017109713822567,0.001136363636363713
2022-10-26,2,3,-0.0033506033685465,
2022-10-27,0,1,0.0040276223883171,
2022-10-27,1,2,0.0022012191078889,0.002270147559591429
2022-10-27,2,3,0.0004062007326568,
2022-10-28,0,1,-0.0035095825470246,
2022-10-28,1,2,-0.0344783192688496,-0.029445073612684003
2022-10-28,2,3,-0.0344783192688496,
2022-10-31,0,1,0.031183966277259,
2022-10-31,1,2,-0.0084968008157941,-0.009334889148191361
2022-10-31,2,3,-0.033782253933602,
2022-11-01,0,1,0.0308883904731752,
2022-11-01,1,2,0.0235622920618633,0.03886925795053009
2022-11-01,2,3,0.0113840725952874,
2022-11-02,0,1,0.0113345326183091,
2022-11-02,1,2,-0.0049529588771006,-0.0045351473922903285
2022-11-02,2,3,-0.00546971909422,
2022-11-03,0,1,-0.0081444053896012,
2022-11-03,1,2,-0.0094989000746907,-0.021640091116173044
2022-11-03,2,3,-0.0294015155705703,
2022-11-04,0,1,0.0311195148399733,
2022-11-04,1,2,0.0311195148399733,0.044237485448195724
2022-11-04,2,3,0.009705641689032,
2022-11-07,0,1,0.0067223651792013,
2022-11-07,1,2,0.0038141836431967,0.006688963210702115
2022-11-07,2,3,-0.0191680435879236,
2022-11-08,0,1,0.0111206680940109,
2022-11-08,1,2,-0.0035204945940162,-0.0033222591362125353
2022-11-08,2,3,-0.003555843171904,
2022-11-09,0,1,0.0043774075959117,
2022-11-09,1,2,0.0002312747580741,0.004444444444444251
2022-11-09,2,3,-0.0305377590079318,
2022-11-10,0,1,-0.0015048100650157,
2022-11-10,1,2,-0.00237728650874,-0.0022123893805309214
2022-11-10,2,3,-0.0168790963709414,
2022-11-11,0,1,0.0305682624635672,
2022-11-11,1,2,0.0305682624635672,0.06208425720620858
2022-11-11,2,3,0.0168925750570551,
2022-11-14,0,1,0.0311574945275719,
2022-11-14,1,2,0.0129306283287277,0.05427974947807934
2022-11-14,2,3,-0.0073189367807485,
2022-11-15,0,1,0.03196563082103,
2022-11-15,1,2,0.0059281377434881,0.005940594059405946
2022-11-15,2,3,0.00509495783997,
2022-11-16,0,1,-0.0048387707433599,
2022-11-16,1,2,-0.0050318620140999,-0.01870078740157477
2022-11-16,2,3,-0.0170833975228214,
2022-11-17,0,1,0.0319026492357861,
2022-11-17,1,2,-0.008373724079359,-0.013039117352056206
2022-11-17,2,3,-0.0150669070572568,
2022-11-18,0,1,-0.0094080071560789,
2022-11-18,1,2,-0.0136722654054298,-0.010162601626016232
